logofile,text1,text2,album,source
logo_bob2.png,Radio Bob NRW,Live Stream,,http://streams.radiobob.de/live-nrw-mitte/mp3-192/mediaplayer
1live.svg,1Live,Live Stream,,http://wdr-1live-live.icecast.wdr.de/wdr/1live/live/mp3/128/stream.mp3
wdr2.jpg,WDR2,Live Stream,,https://wdr-wdr2-rheinland.icecastssl.wdr.de/wdr/wdr2/rheinland/mp3/128/stream.mp3
wdr4.jpg,WDR4,Live Stream,,https://wdr-wdr4-live.icecastssl.wdr.de/wdr/wdr4/live/mp3/128/stream.mp3
maus.jpg,Die Maus,Live Stream,,https://wdr-diemaus-live.icecastssl.wdr.de/wdr/diemaus/live/mp3/56/stream.mp3
LEO.png,Leo Lausemaus,Folge 28 - Endlich Ferien!,,http://192.168.178.68:8200/MediaItems/12709.mp3
pawPatrol.png,PawPatrol,Track1,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12624.mp3
,PawPatrol,Track2,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12630
,PawPatrol,Track3,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12631
,PawPatrol,Track4,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12632
,PawPatrol,Track5,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12633
,PawPatrol,Track6,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12634
,PawPatrol,Track7,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12635
,PawPatrol,Track8,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12636
,PawPatrol,Track9,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12637
,PawPatrol,Track10,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12638
,PawPatrol,Track11,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12639
,PawPatrol,Track12,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12640
,PawPatrol,Track13,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12641
,PawPatrol,Track14,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12642
,PawPatrol,Track15,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12643
,PawPatrol,Track16,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12644
,PawPatrol,Track17,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12645
,PawPatrol,Track18,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12646
,PawPatrol,Track19,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12647
,PawPatrol,Track20,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12648
,PawPatrol,Track21,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12649
,PawPatrol,Track22,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12650
,PawPatrol,Track23,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12651
,PawPatrol,Track24,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12652
,PawPatrol,Track25,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12653
,PawPatrol,Track26,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12654
,PawPatrol,Track27,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12655
,PawPatrol,Track28,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12656
,PawPatrol,Track29,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12657
,PawPatrol,Track30,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12658
,PawPatrol,Track31,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12659
,PawPatrol,Track32,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12660
,PawPatrol,Track33,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12661
,PawPatrol,Track34,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12662
,PawPatrol,Track35,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12663
,PawPatrol,Track36,Die Fellfreunde retten Wufflandis,http://192.168.178.68:8200/MediaItems/12664
